iter	Passed	Remaining
442	1094	1376
443	1095	1371
444	1096	1367
445	1096	1362
446	1097	1357
447	1098	1352
448	1098	1348
449	1099	1343
450	1100	1339
451	1100	1334
452	1101	1329
453	1101	1325
454	1102	1320
455	1103	1316
456	1103	1311
457	1104	1307
458	1108	1306
459	1108	1301
460	1109	1297
461	1110	1292
462	1110	1288
463	1111	1283
464	1112	1279
465	1112	1275
466	1113	1270
467	1114	1266
468	1114	1262
469	1115	1257
470	1116	1253
471	1116	1249
472	1117	1245
473	1118	1240
474	1118	1236
475	1119	1232
476	1121	1229
477	1123	1226
478	1123	1222
479	1124	1218
480	1125	1213
481	1125	1209
482	1126	1205
483	1126	1201
484	1127	1197
485	1128	1193
486	1129	1189
487	1129	1185
488	1130	1181
489	1131	1177
490	1131	1173
491	1132	1169
492	1133	1165
493	1133	1161
494	1134	1157
495	1137	1155
496	1137	1151
497	1138	1147
498	1138	1143
499	1139	1139
500	1140	1135
501	1140	1131
502	1141	1127
503	1142	1124
504	1142	1120
505	1143	1116
506	1144	1112
507	1144	1108
508	1145	1104
509	1146	1101
510	1146	1097
511	1147	1093
512	1148	1090
513	1148	1086
514	1152	1084
515	1152	1081
516	1153	1077
517	1154	1073
518	1154	1070
519	1155	1066
520	1156	1062
521	1156	1059
522	1157	1055
523	1157	1051
524	1158	1048
525	1159	1044
526	1159	1041
527	1160	1037
528	1161	1033
529	1161	1030
530	1162	1026
531	1163	1023
532	1163	1019
533	1165	1017
534	1166	1014
535	1167	1010
536	1168	1007
537	1169	1004
538	1170	1000
539	1171	997
540	1172	994
541	1172	991
542	1173	987
543	1174	984
544	1174	980
545	1175	977
546	1176	973
547	1176	970
548	1177	967
549	1178	963
550	1180	961
551	1181	959
552	1182	955
553	1183	952
554	1184	949
555	1185	946
556	1186	943
557	1187	940
558	1187	937
559	1188	933
560	1189	930
561	1190	927
562	1190	924
563	1191	921
564	1192	918
565	1193	914
566	1196	913
567	1197	910
568	1197	907
569	1198	904
570	1199	901
571	1200	897
572	1200	894
573	1201	891
574	1202	888
575	1203	885
576	1203	882
577	1204	879
578	1205	876
579	1206	873
580	1206	870
581	1207	867
582	1211	866
583	1212	863
584	1213	860
585	1213	857
586	1214	854
587	1215	851
588	1216	848
589	1216	845
590	1217	842
591	1218	839
592	1219	836
593	1219	833
594	1220	830
595	1221	827
596	1222	825
597	1223	822
598	1223	819
599	1224	816
600	1225	813
601	1226	810
602	1226	807
603	1227	804
604	1228	802
605	1229	799
606	1229	796
607	1230	793
608	1231	790
609	1232	787
610	1232	784
611	1233	782
612	1234	779
613	1235	776
614	1238	775
615	1239	772
616	1241	770
617	1242	767
618	1243	765
619	1244	762
620	1245	759
621	1246	757
622	1246	754
623	1247	751
624	1248	749
625	1249	746
626	1251	744
627	1253	742
628	1254	739
629	1255	737
630	1256	734
631	1257	732
632	1258	729
633	1259	727
634	1260	724
635	1261	721
636	1261	719
637	1262	716
638	1263	713
639	1263	710
640	1264	708
641	1265	705
642	1268	704
643	1268	701
644	1269	698
645	1270	696
646	1270	693
647	1271	690
648	1272	688
649	1272	685
650	1273	682
651	1274	680
652	1274	677
653	1275	674
654	1276	672
655	1276	669
656	1277	666
657	1278	664
658	1278	661
659	1279	659
660	1280	656
661	1283	655
662	1284	652
663	1284	650
664	1285	647
665	1286	645
666	1286	642
667	1287	639
668	1288	637
669	1288	634
670	1289	632
671	1290	629
672	1290	627
673	1291	624
674	1292	622
675	1292	619
676	1293	617
677	1294	614
678	1294	612
679	1297	610
680	1298	608
681	1299	605
682	1299	603
683	1300	600
684	1301	598
685	1301	595
686	1302	593
687	1303	590
688	1303	588
689	1304	586
690	1305	583
691	1305	581
692	1306	578
693	1307	576
694	1307	573
695	1308	571
696	1308	569
697	1311	567
698	1312	565
699	1313	562
700	1314	560
701	1314	558
702	1315	555
703	1316	553
704	1316	550
705	1317	548
706	1318	546
707	1318	543
708	1319	541
709	1319	539
710	1320	536
711	1321	534
712	1321	532
713	1322	529
714	1323	527
715	1324	525
716	1327	523
717	1327	521
718	1328	519
719	1329	516
720	1329	514
721	1330	512
722	1331	510
723	1331	507
724	1332	505
725	1333	503
726	1333	500
727	1334	498
728	1335	496
729	1335	494
730	1336	491
731	1337	489
732	1337	487
733	1338	485
734	1340	483
735	1341	481
736	1342	479
737	1343	476
738	1343	474
739	1344	472
740	1345	470
741	1346	468
742	1347	465
743	1347	463
744	1348	461
745	1349	459
746	1349	457
747	1350	454
748	1351	452
749	1351	450
750	1352	448
751	1353	446
752	1354	444
753	1356	442
754	1356	440
755	1357	438
756	1357	435
757	1358	433
758	1359	431
759	1359	429
760	1360	427
761	1361	425
762	1362	423
763	1362	420
764	1363	418
765	1363	416
766	1364	414
767	1365	412
768	1366	410
769	1366	408
770	1367	406
771	1368	404
772	1370	402
773	1371	400
774	1372	398
775	1372	396
776	1373	394
777	1374	392
778	1374	390
779	1375	388
780	1376	385
781	1376	383
782	1377	381
783	1378	379
784	1379	377
785	1379	375
786	1380	373
787	1381	371
788	1381	369
789	1383	367
790	1385	366
791	1386	364
792	1387	362
793	1388	360
794	1388	358
795	1389	356
796	1390	354
797	1390	352
798	1391	350
799	1392	348
800	1392	346
801	1393	344
802	1394	342
803	1394	340
804	1395	338
805	1396	336
806	1396	334
807	1400	332
808	1401	330
809	1402	328
810	1403	326
811	1403	325
812	1404	323
813	1405	321
814	1405	319
815	1406	317
816	1406	315
817	1407	313
818	1408	311
819	1408	309
820	1409	307
821	1410	305
822	1411	303
823	1412	301
824	1414	300
825	1415	298
826	1415	296
827	1416	294
828	1417	292
829	1418	290
830	1418	288
831	1419	286
832	1419	284
833	1420	282
834	1421	280
835	1421	278
836	1422	277
837	1423	275
838	1424	273
839	1424	271
840	1425	269
841	1426	267
842	1427	265
843	1427	263
844	1428	262
845	1429	260
846	1429	258
847	1430	256
848	1431	254
849	1431	252
850	1432	250
851	1433	248
852	1433	247
853	1434	245
854	1435	243
855	1435	241
856	1436	239
857	1437	237
858	1437	235
859	1438	234
860	1439	232
861	1442	230
862	1443	229
863	1443	227
864	1444	225
865	1445	223
866	1446	221
867	1447	220
868	1447	218
869	1448	216
870	1449	214
871	1449	212
872	1450	211
873	1451	209
874	1451	207
875	1452	205
876	1453	203
877	1453	202
878	1456	200
879	1457	198
880	1457	196
881	1458	195
882	1459	193
883	1459	191
884	1460	189
885	1461	188
886	1461	186
887	1462	184
888	1463	182
889	1463	180
890	1464	179
891	1465	177
892	1465	175
893	1466	173
894	1467	172
895	1468	170
896	1470	168
897	1471	167
898	1471	165
899	1472	163
900	1473	161
901	1473	160
902	1474	158
903	1475	156
904	1475	154
905	1476	153
906	1477	151
907	1477	149
908	1478	148
909	1479	146
910	1479	144
911	1480	142
912	1481	141
913	1481	139
914	1482	137
915	1486	136
916	1486	134
917	1487	132
918	1488	131
919	1488	129
920	1489	127
921	1490	126
922	1490	124
923	1491	122
924	1492	120
925	1492	119
926	1493	117
927	1494	115
928	1494	114
929	1495	112
930	1496	110
931	1496	109
932	1497	107
933	1501	106
934	1501	104
935	1502	102
936	1503	101
937	1503	99
938	1504	97
939	1505	96
940	1505	94
941	1506	92
942	1507	91
943	1507	89
944	1508	87
945	1509	86
946	1509	84
947	1510	82
948	1511	81
949	1511	79
950	1512	77
951	1515	76
952	1516	74
953	1516	73
954	1517	71
955	1518	69
956	1518	68
957	1519	66
958	1520	64
959	1520	63
960	1521	61
961	1522	60
962	1522	58
963	1523	56
964	1524	55
965	1524	53
966	1525	52
967	1525	50
968	1526	48
969	1527	47
970	1530	45
971	1531	44
972	1532	42
973	1532	40
974	1533	39
975	1534	37
976	1535	36
977	1536	34
978	1536	32
979	1537	31
980	1538	29
981	1538	28
982	1539	26
983	1540	25
984	1540	23
985	1541	21
986	1543	20
987	1545	18
988	1546	17
989	1546	15
990	1547	14
991	1548	12
992	1548	10
993	1549	9
994	1550	7
995	1551	6
996	1551	4
997	1552	3
998	1553	1
999	1553	0
